Delivery_type,model_name,price,ratings
FREE Delivery by Amazon,"Redmi 9 Power (Blazing Blue, 4GB RAM, 64GB Storage) - 6000mAh Battery | 48MP Quad Camera | Extra INR 1000 Amazon Pay Cashback","10,999",3.7 out of 5 stars
FREE Delivery by Amazon,"Samsung Galaxy M31 Prime Edition (Space Black, 6GB RAM, 128GB Storage)","15,999",4.2 out of 5 stars
FREE Delivery by Amazon,Redmi 9 Power (Mighty Black 4GB RAM 64GB Storage) - 6000mAh Battery | 48MP Quad Camera | Extra INR 1000 Amazon Pay cashback,"10,999",3.7 out of 5 stars
FREE Delivery by Amazon,"Redmi 9 Power (Electric Green, 4GB RAM, 64GB Storage) - 6000mAh Battery | 48MP Quad Camera | Extra INR 1000 Amazon Pay Cashback","10,999",3.7 out of 5 stars
FREE Delivery by Amazon,"Redmi 9A (Sea Blue, 2GB Ram, 32GB Storage)","6,999",4.1 out of 5 stars
FREE Delivery by Amazon,"Redmi Note 9 Pro (Aurora Blue, 4GB RAM, 64GB Storage) - Latest 8nm Snapdragon 720G & Alexa Hands-Free | Upto 6 Months No Cost EMI","12,999",4.2 out of 5 stars
FREE Delivery by Amazon,"Samsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)","15,999",4.2 out of 5 stars
FREE Delivery by Amazon,"Samsung Galaxy M21 (Midnight Blue, 4GB RAM, 64GB Storage)","12,499",4.2 out of 5 stars
FREE Delivery by Amazon,"Redmi 9 Power (Fiery Red, 4GB RAM, 64GB Storage) - 6000mAh Battery | 48MP Quad Camera | Extra INR 1000 Amazon Pay Cashback","10,999",3.7 out of 5 stars
FREE Delivery by Amazon,"Redmi Note 9 Pro Max (Aurora Blue, 6GB RAM, 64GB Storage)- 64MP Quad Camera & Alexa Hands-Free | Upto 12 Months No Cost EMI |Extra INR 1000 Off with Coupons","14,999",4.1 out of 5 stars
FREE Delivery by Amazon,"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | Upto 6 Months No Cost EMI","12,999",4.2 out of 5 stars
FREE Delivery by Amazon,"Redmi 9A (Nature Green, 2GB Ram, 32GB Storage)","6,999",4.1 out of 5 stars
FREE Delivery by Amazon,"Samsung Galaxy M31s (Mirage Blue, 6GB RAM, 128GB Storage)","17,999",4.3 out of 5 stars
FREE Delivery by Amazon,"Redmi 9A (Midnight Black, 2GB RAM, 32GB Storage)","6,999",4.1 out of 5 stars
FREE Delivery by Amazon,"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage)","8,999",4.0 out of 5 stars
FREE Delivery by Amazon,"Samsung Galaxy M21 (Raven Black, 4GB RAM, 64GB Storage)","12,499",4.2 out of 5 stars
FREE Delivery by Amazon,"Samsung Galaxy M02s (Blue,4GB RAM, 64GB Storage)","9,999",4.1 out of 5 stars
FREE Delivery by Amazon,"Redmi Note 9 Pro Max (Interstellar Black, 6GB RAM, 64GB Storage) - 64MP Quad Camera & Alexa Hands-Free | Upto 12 Months No Cost EMI |Extra INR 1000 Off with Coupons","14,999",4.4 out of 5 stars
FREE Delivery by Amazon,"Samsung Galaxy M51 (Electric Blue, 6GB RAM, 128GB Storage)","22,999",4.2 out of 5 stars
FREE Delivery by Amazon,"Redmi 9 Prime (Mint Green, 4GB RAM, 64GB Storage)- Full HD+ Display & AI Quad Camera","9,499",4.3 out of 5 stars
FREE Delivery by Amazon,"Samsung Galaxy M31s (Mirage Black, 6GB RAM, 128GB Storage)","17,999",4.1 out of 5 stars
FREE Delivery by Amazon,"Samsung Galaxy M02s (Blue,3GB RAM, 32GB Storage)","8,999",4.0 out of 5 stars
FREE Delivery by Amazon,"Redmi 8A Dual (Sky White, 3GB RAM, 64GB Storage) â€“ Dual Cameras & 5,000 mAH Battery","7,999",4.2 out of 5 stars
FREE Delivery by Amazon,"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 128GB Storage) - Latest 8nm Snapdragon 720G & Alexa Hands-Free | Upto 6 Months No Cost EMI | Extra Upto INR 2000 Off on Exchange","13,999",4.2 out of 5 stars
FREE Delivery by Amazon,"Redmi Note 9 Pro (Glacier White, 4GB RAM, 64GB Storage) - Latest 8nm Snapdragon 720G & Alexa Hands-Free | Upto 6 Months No Cost EMI","12,999",4.4 out of 5 stars
FREE Delivery by Amazon,"Samsung Galaxy M51 (Electric Blue, 8GB RAM, 128GB Storage)","24,999",4.1 out of 5 stars
FREE Delivery by Amazon,"Redmi Note 9 Pro Max (Interstellar Black, 6GB RAM, 128GB Storage) - 64MP Quad Camera & Latest 8nm Snapdragon 720G & Alexa Hands-Free | Extra Upto INR 2000 Off on Exchange | Upto 12 Months No Cost EMI","17,499",4.1 out of 5 stars
FREE Delivery by Amazon,"Redmi 9A (Nature Green, 3GB Ram, 32GB Storage)","7,499",4.0 out of 5 stars
FREE Delivery by Amazon,"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage)","8,999",4.2 out of 5 stars
FREE Delivery by Amazon,"Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","15,999",4.0 out of 5 stars
FREE Delivery by Amazon,"Redmi 9 (Sporty Orange, 4GB RAM, 64GB Storage)","8,999",4.4 out of 5 stars
FREE Delivery by Amazon,"Samsung Galaxy M02s (Black,4GB RAM, 64GB Storage)","9,999",4.1 out of 5 stars
FREE Delivery by Amazon,"Samsung Galaxy M51 (Celestial Black, 8GB RAM, 128GB Storage)","24,999",4.3 out of 5 stars
FREE Delivery by Amazon,"Redmi Note 9 Pro Max (Glacier White, 6GB RAM, 64GB Storage) - 64MP Quad Camera & Alexa Hands-Free | Upto 12 Months No Cost EMI |Extra INR 1000 Off with Coupons","14,999",3.7 out of 5 stars
FREE Delivery by Amazon,"Samsung Galaxy M31s (Mirage Blue, 8GB RAM, 128GB Storage)","19,999",4.2 out of 5 stars
FREE Delivery by Amazon,"Redmi 9 Power (Blazing Blue, 4GB RAM, 128GB Storage) - 6000mAh Battery | 48MP Quad Camera | Snapdragon 662 Processor","11,999",4.2 out of 5 stars
FREE Delivery by Amazon,"Samsung Galaxy M21 (Midnight Blue, 6GB RAM, 128GB Storage)","14,499",4.4 out of 5 stars
FREE Delivery by Amazon,"Samsung Galaxy M02s (Red,4GB RAM, 64GB Storage)","9,999",4.2 out of 5 stars
FREE Delivery by Amazon,"Redmi Note 9 Pro (Champagne Gold, 4GB RAM, 64GB Storage) - Latest 8nm Snapdragon 720G & Alexa Hands-Free | Upto 6 Months No Cost EMI","12,999",3.7 out of 5 stars
FREE Delivery by Amazon,Samsung EVO Plus 64GB microSDXC UHS-I 100MB/s Full HD & 4K UHD Memory Card with Adapter (MB-MC64HA),679,4.0 out of 5 stars
FREE Delivery by Amazon,"Redmi Note 9 (Shadow Black, 4GB RAM, 64GB Storage)","11,999",3.7 out of 5 stars
FREE Delivery by Amazon,"Redmi 9 Power (Mighty Black, 4GB RAM, 128GB Storage) - 6000mAh Battery | 48MP Quad Camera | Snapdragon 662 Processor","11,999",3.4 out of 5 stars
